id,training_data_type,question,content
1840453-doc,documentation,,"The following columns are in the UDT_ORDER_FULFILLMENT table in the GEN_AI_NEW database:

|    | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME            | COLUMN_NAME              | DATA_TYPE   |
|---:|:----------------|:---------------|:----------------------|:-------------------------|:------------|
| 10 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | SIMULATION_NAME          | varchar     |
| 11 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | MONTH                    | date        |
| 12 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | PRODUCT_GRP              | varchar     |
| 13 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | Market_segment           | varchar     |
| 14 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | Customer_segment         | varchar     |
| 15 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | PRIORITY                 | float       |
| 16 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | TOTAL_CUST_ORDER         | float       |
| 17 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | TOT_CUSTORDER_ALLOCATION | float       |
| 18 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | TOT_FORCAST_ORDER        | float       |
| 19 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | TOT_FCSTORDER_ALLOCATION | float       |
| 20 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | TOTAL_ORDER              | float       |
| 21 | GEN_AI_NEW      | dbo            | UDT_ORDER_FULFILLMENT | TOTAL_ALLOCATION         | float       |"
407072-sql,sql,Can you show me the previous and updated resource utilization for KCCL2?,"select loc as Plant, res as Resource, ROUND(pct_used,2) as [Previous_Resource_Utilisation %], updated_pct_used as [Updated_Resource_Utilisation %] from resource_utilization where res='KCCL2';"
400094-sql,sql,What if I select the best forecast value added by all stakeholders?,"select distinct Product,Customer as Region, Cust_Segment as Customer_Type, CONVERT ( varchar,MONTH, 32) AS Month, round(Avg_3_month_sales,0) as Avg_3_Month_Sales,CAM_Value_Add,BM_Value_Add,RM_Value_Add,SH_Value_Add,PH_Value_Add, Highest_Forecast_accuracy as Highest_Value_Add_By from SNOP_Value_Add_RCA where month ='01-06-2024' and cust_segment <>'NA' and Customer in ('WEST', 'NORTH') and Product='15' order by 2 desc;"
287384-ddl,ddl,,"
CREATE TABLE GEN_AI_NEW.dbo.Sales_Data (
    customer varchar,
    product float,
    loc varchar,
    MD date,
    Qty float,
    AC_PROD float,
    REF_PROD float,
    CEMENT_PROD float,
    COMPRESSOR_PROD float,
    CONS_MACH_PROD float,
    CRANES_PROD float,
    OIL_PROD float,
    CV_PROD float,
    MINING_PROD float,
    PAINT_PROD float,
    VARNISH_PROD float,
    PUMP_PROD float,
    PV_PROD float,
    STEEL_PROD float,
    TRACTOR_PROD float,
    TRANS_PROD float,
    Key varchar,
    Rank float
);


"
1840464-doc,documentation,,"The following columns are in the Model_Results table in the GEN_AI_NEW database:

|     | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME    | COLUMN_NAME   | DATA_TYPE   |
|----:|:----------------|:---------------|:--------------|:--------------|:------------|
| 286 | GEN_AI_NEW      | dbo            | Model_Results | TEST_Period   | date        |
| 287 | GEN_AI_NEW      | dbo            | Model_Results | Actuals       | float       |
| 288 | GEN_AI_NEW      | dbo            | Model_Results | Key           | varchar     |
| 289 | GEN_AI_NEW      | dbo            | Model_Results | Pred          | float       |
| 290 | GEN_AI_NEW      | dbo            | Model_Results | Error         | float       |
| 291 | GEN_AI_NEW      | dbo            | Model_Results | Error1        | float       |
| 292 | GEN_AI_NEW      | dbo            | Model_Results | Accuracy      | float       |
| 293 | GEN_AI_NEW      | dbo            | Model_Results | Features      | varchar     |
| 294 | GEN_AI_NEW      | dbo            | Model_Results | Rsquare       | float       |
| 295 | GEN_AI_NEW      | dbo            | Model_Results | Adj_Rsquare   | float       |
| 296 | GEN_AI_NEW      | dbo            | Model_Results | Model         | varchar     |"
400093-sql,sql,Which product groups and customer segments should we focus on for low forecast value add?,"select distinct Product,Customer as Region, Cust_Segment, CONVERT ( varchar,MONTH, 32) AS Month, round(Sales,0) as Sales,CAM_Value_Add,BM_Value_Add,RM_Value_Add,SH_Value_Add,PH_Value_Add from SNOP_Value_Add_RCA where month ='01-06-2024' and cust_segment <>'NA' and PH_Value_Add like '%-%' order by 5 desc;"
1840470-doc,documentation,,"The following columns are in the Inv_Stock_Clear table in the GEN_AI_NEW database:

|     | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME      | COLUMN_NAME      | DATA_TYPE   |
|----:|:----------------|:---------------|:----------------|:-----------------|:------------|
| 342 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | DC               | varchar     |
| 343 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Avg_Sales        | float       |
| 344 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Sold_To_Party    | varchar     |
| 345 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Party_Code       | varchar     |
| 346 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Ship_To_Party    | varchar     |
| 347 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Customer         | varchar     |
| 348 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Strategy         | varchar     |
| 349 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Material         | varchar     |
| 350 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Sales_Office     | varchar     |
| 351 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | FORM             | varchar     |
| 352 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | JSW_Grade        | varchar     |
| 353 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | GRADE_GRP        | varchar     |
| 354 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | THICK            | float       |
| 355 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | WIDTH            | float       |
| 356 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | UQ               | float       |
| 357 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | IQ               | float       |
| 358 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | BQ               | float       |
| 359 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | SQ               | float       |
| 360 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Usage_Decision   | varchar     |
| 361 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | NCO_Declared     | varchar     |
| 362 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Aging            | float       |
| 363 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | LENGTH           | float       |
| 364 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | Order_Status     | varchar     |
| 365 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_ALUMINIUM_PCT  | float       |
| 366 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_BORON_PCT      | float       |
| 367 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_CARBON_PCT     | float       |
| 368 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_CHROMIUM_PCT   | float       |
| 369 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_COPPER_PCT     | float       |
| 370 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_MANGANESE_PCT  | float       |
| 371 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_MOLYBDENUM_PCT | float       |
| 372 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_NICKEL_PCT     | float       |
| 373 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_NIOBIUM_PCT    | float       |
| 374 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_PHOSPHORUS_PCT | float       |
| 375 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_SILICON_PCT    | float       |
| 376 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_SULPHUR_PCT    | float       |
| 377 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_TITANIUM_PCT   | float       |
| 378 | GEN_AI_NEW      | dbo            | Inv_Stock_Clear | S_VANADIUM_PCT   | float       |"
287340-ddl,ddl,,"
CREATE TABLE GEN_AI_NEW.dbo.RM_Supply_Report (
    Ordered_Part varchar,
    Description varchar,
    Inventory_Buffer varchar,
    Vendor varchar,
    Supply_Type varchar,
    Supply_Quantity float,
    Supply varchar,
    Arrival_Time datetime2,
    Total_Fed_Quantity float,
    Unused_Quantity float,
    No_of_Orders_Fed float,
    Orders_Fed varchar,
    Action_Quantity float,
    Available_Time datetime2,
    Latest_Needed_Time varchar,
    Start_of_Bucket varchar,
    End_of_Bucket varchar,
    PO_Release_Time varchar,
    LPST_Message varchar,
    PST_Message varchar
);


"
402303-sql,sql,Which products and customers should we focus on for better forecast accuracy?,"SELECT DISTINCT CONCAT('01','-',RIGHT([MD],2),'-',LEFT([MD],4)) AS [Month], A.[Key] AS DFU, REVERSE(PARSENAME(REPLACE(REVERSE(A.[Key]), '/', '.'), 1)) AS [Customer], REVERSE(PARSENAME(REPLACE(REVERSE(A.[Key]), '/', '.'), 2)) AS [Product], ROUND(A.qty,0) AS Sales, ROUND(C.Forecast,0) AS Forecast, ROUND(C.Accuracy_Percentage,0) AS [Forecast Accuracy%] FROM [GEN_AI_NEW].[dbo].[Sales_Data] A INNER JOIN (SELECT * FROM (SELECT [Key],[Test_Period], Accuracy AS Accuracy_Percentage,Pred AS Forecast FROM [GEN_AI_NEW].[dbo].[Model_Results] WHERE Model='All Var MLR') B ) C ON A.[Key] = C.[Key] AND A.MD = C.Test_Period WHERE C.Accuracy_Percentage < 50 AND A.[rank] < 10 ORDER BY ROUND(A.qty,0) DESC, [Forecast Accuracy%] DESC;"
287338-ddl,ddl,,"
CREATE TABLE GEN_AI_NEW.dbo.late_order_reasons (
    Demand_Order varchar,
    Order_Qty float,
    Part_ID varchar,
    Order_Due_Date varchar,
    Days_Late tinyint,
    Late_Reason varchar,
    Mfg_Order varchar,
    Operation varchar,
    Late_Part varchar,
    Total_Quantity float,
    Quantity_from_Vendors float,
    Latest_Delivery varchar,
    Latest_Time_Needed varchar,
    Mfg_Lateness float,
    Reason_Category varchar,
    RES varchar,
    PRODUCT_FORM varchar,
    LATE_PART_TYPE varchar,
    ALTERNATE_PART varchar,
    CAMPAIGN_TYPE varchar,
    CAMPAIGN_START_DATE date,
    CAMPAIGN_END_DATE date
);


"
402277-sql,sql,Which campaigns are causing order delays?,"SELECT DISTINCT LATE_REASON AS CAMPAIGN_NAME, Campaign_Type AS CAMPAIGN_TYPE, RES, ROUND(SUM(ORDER_QTY), 0) AS ORDER_QTY, CONCAT(ROUND(AVG(DAYS_LATE), 0), ' ', 'Days') AS DAYS_LATE, CONVERT(VARCHAR, CAMPAIGN_START_DATE, 105) AS CAMPAIGN_START_DATE, CONVERT(VARCHAR, CAMPAIGN_END_DATE, 105) AS CAMPAIGN_END_DATE FROM [GEN_AI_NEW].[dbo].[late_order_reasons] WHERE REASON_CATEGORY = 'Campaign Unavailable' GROUP BY LATE_REASON, Campaign_Type, RES, CAMPAIGN_START_DATE, CAMPAIGN_END_DATE ORDER BY ORDER_QTY DESC;"
407095-sql,sql,"Historically, which customers have I targeted for selling HR Coil Form Inventory with Grade AHSS?","select  dc as [Distribution Channel],sales_office as [Sales Office],form as [Product Form],grade_grp as Grade, Sold_to_party as Customer ,strategy as Strategy,ROUND(SUM(UQ),0) as [Unrestricted Quantity],avg(Avg_sales) as [Average Sales] from inv_stock_clear where form='S_HRCF' AND GRADE_GRP='API & High Strength Diversion' AND NCO_dECLARED='Yes' and dc='OEM'  AND SALES_OFFICE='Mumbai' and strategy <>'Not Found' group by sold_to_party,strategy,dc,sales_office,form,grade_grp order by strategy desc;"
1840455-doc,documentation,,"The following columns are in the SNOP_Value_Add_RCA table in the GEN_AI_NEW database:

|    | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME         | COLUMN_NAME                          | DATA_TYPE   |
|---:|:----------------|:---------------|:-------------------|:-------------------------------------|:------------|
| 41 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Product                              | varchar     |
| 42 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Customer                             | varchar     |
| 43 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Month                                | date        |
| 44 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Cust_Segment                         | varchar     |
| 45 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Stat_Forecast                        | float       |
| 46 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | CAM_Forecast                         | float       |
| 47 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | BM_Forecast                          | float       |
| 48 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | RM_Forecast                          | float       |
| 49 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | SH_Forecast                          | float       |
| 50 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | PH_Forecast                          | float       |
| 51 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Sales                                | float       |
| 52 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | SNOE_Forecast_Addition               | float       |
| 53 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Remaining_Per_Week_Qty               | float       |
| 54 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Avg_3_month_sales                    | float       |
| 55 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Stat_Accuracy                        | varchar     |
| 56 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | CAM_Accuracy                         | varchar     |
| 57 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | BM_Accuracy                          | varchar     |
| 58 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | RM_Accuracy                          | varchar     |
| 59 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | SH_Accuracy                          | varchar     |
| 60 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | PH_Accuracy                          | varchar     |
| 61 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | CAM_Value_Add                        | varchar     |
| 62 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | BM_Value_Add                         | varchar     |
| 63 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | RM_Value_Add                         | varchar     |
| 64 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | SH_Value_Add                         | varchar     |
| 65 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | PH_Value_Add                         | varchar     |
| 66 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Highest_Forecast_accuracy            | varchar     |
| 67 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Accuracy_Increase_Decrease           | varchar     |
| 68 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | New_Unconstraint_Accuracy            | varchar     |
| 69 | GEN_AI_NEW      | dbo            | SNOP_Value_Add_RCA | Skip_Collaboration_Accuracy_Increase | varchar     |"
289541-ddl,ddl,,"
CREATE TABLE GEN_AI_NEW.dbo.Inv_Liq_Hist (
    DMDUNIT varchar,
    DMDGROUP varchar,
    LOC varchar,
    STARTDATE date,
    DUR float,
    TYPE float,
    EVENT varchar,
    QTY float,
    LOOKUP varchar,
    GRADE varchar,
    THICKNESS_MIN float,
    THICKNESS_MAX float,
    WIDTH_MIN float,
    WIDTH_MAX float,
    Customer_Name varchar,
    Strategy varchar,
    Avg_Sales float
);


"
1840452-doc,documentation,,"The following columns are in the PLANT_PERCENTAGE table in the GEN_AI_NEW database:

|    | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME       | COLUMN_NAME         | DATA_TYPE   |
|---:|:----------------|:---------------|:-----------------|:--------------------|:------------|
|  6 | GEN_AI_NEW      | dbo            | PLANT_PERCENTAGE | RES                 | varchar     |
|  7 | GEN_AI_NEW      | dbo            | PLANT_PERCENTAGE | LOC                 | varchar     |
|  8 | GEN_AI_NEW      | dbo            | PLANT_PERCENTAGE | UDC_PRODUCT_GROUP   | varchar     |
|  9 | GEN_AI_NEW      | dbo            | PLANT_PERCENTAGE | Percentage_utilized | float       |"
1840467-doc,documentation,,"The following columns are in the TOTAL_DEMAND table in the GEN_AI_NEW database:

|     | TABLE_CATALOG   | TABLE_SCHEMA   | TABLE_NAME   | COLUMN_NAME      | DATA_TYPE   |
|----:|:----------------|:---------------|:-------------|:-----------------|:------------|
| 312 | GEN_AI_NEW      | dbo            | TOTAL_DEMAND | ITEM             | varchar     |
| 313 | GEN_AI_NEW      | dbo            | TOTAL_DEMAND | TOTAL_DEMAND     | int         |
| 314 | GEN_AI_NEW      | dbo            | TOTAL_DEMAND | Total_MET_DEMAND | int         |"
287093-ddl,ddl,,"
CREATE TABLE [GEN_AI_NEW].[dbo].[udt_allocation_detail_report] (
    DEMAND_GROUP VARCHAR(255),
    PLANNING_ITEM VARCHAR(255),
    DEMAND_LOCATION VARCHAR(255),
    FORECAST_DATE DATE,
    INV_AT_PLANT FLOAT,
    INV_AT_NONPLANT FLOAT,
    ALLOCATION_DEMAND_GROUP VARCHAR(255),
    ALLOCATION_ITEM VARCHAR(255),
    PLANT VARCHAR(255),
    AVAIL_DATE DATE,
    ALLOCATION_QUANTITY FLOAT,
    SUPPLY FLOAT,
    INV_QUANTITY_PLANT FLOAT,
    INV_QUANTITY_NONPLANT FLOAT,
    CONSTRAINT_FORECAST FLOAT,
    PRODUCTION_ALLOCATIONS FLOAT,
    CONSUMED_QUANTITY FLOAT,
    FREE_ALLOCATIONS FLOAT,
    [Order] FLOAT
);


"
400103-sql,sql,What is the recommendation for the optimal statistical algorithm and parameters for this product and customer?,"select distinct product,customer as Region, round (BY_Forecast,0) as BY_Forecast,BY_Algorithm,round (BY_Alpha_Parameter,2) as BY_Alpha_Parameter, round(BY_Beta_Parameter,2) as BY_Beta_Parameter, round(BY_Gamma_Parameter,2) as BY_Gamma_Parameter, round(Optimal_Forecast,0) as Optimal_Forecast, Optimal_Algorithm, round(Optimal_Alpha_Parameter,2) as Optimal_Alpha_Parameter, round(Optimal_Beta_Parameter,2) as Optimal_Beta_Parameter, round(Optimal_Gamma_Parameter,2) as Optimal_Gamma_Parameter from Optimal_Statistical_Output where month='01-07-2024'order by 1 desc;"
407088-sql,sql,"What are the Unrestricted Quantity, Inspection Quantity, Blocked Quantity, and In-Hand Stock Quantity by Product Form?","select DC as [Distribution Channel],sales_office as [Sales Office],form as [Product Form],round(sum(uq),0) as [Unrestricted Quantity],round(sum(iq),0) as [Inspection Quantity], round(sum(bq),0) as [Blocked Quantity],round(sum(sq),0) as [In Hand Stock Quantity] from inv_stock_clear where NCO_DECLARED='Yes' AND dc='OEM' AND SALES_OFFICE='Mumbai' group by form,material,dc,sales_office order by [In Hand Stock Quantity] desc;"
285436-ddl,ddl,,"
CREATE TABLE GEN_AI_NEW.dbo.Optimal_Statistical_Output (
    Product varchar,
    Customer varchar,
    Month date,
    Avg_3_months_sales float,
    BY_Forecast float,
    Optimal_Forecast float,
    New_Forecast float,
    BY_Accuracy varchar,
    Optimal_Accuracy varchar,
    New_Accuracy varchar,
    Increase_Decrease varchar,
    BY_Alpha_Parameter float,
    BY_Beta_Parameter float,
    BY_Gamma_Parameter float,
    Optimal_Alpha_Parameter float,
    Optimal_Beta_Parameter float,
    Optimal_Gamma_Parameter float,
    Optimal_Algorithm varchar,
    BY_Algorithm varchar
);


"
